Duration hours,Duration days,1 year rainfall (mm),2 year rainfall (mm),3 year rainfall (mm),4 year rainfall (mm),5 year rainfall (mm),6 year rainfall (mm),7 year rainfall (mm),8 year rainfall (mm),9 year rainfall (mm),10 year rainfall (mm),11 year rainfall (mm),12 year rainfall (mm),13 year rainfall (mm),14 year rainfall (mm),15 year rainfall (mm),16 year rainfall (mm),17 year rainfall (mm),18 year rainfall (mm),19 year rainfall (mm),20 year rainfall (mm),30 year rainfall (mm),50 year rainfall (mm),75 year rainfall (mm),100 year rainfall (mm),150 year rainfall (mm),200 year rainfall (mm),500 year rainfall (mm),1000 year rainfall (mm),10000 year rainfall (mm)
15,0.625,30.14,36.14,39.72,42.28,44.29,45.95,47.37,48.62,49.73,50.73,51.19,52.07,52.88,53.64,54.35,55.01,55.64,56.23,56.79,57.59,61.85,67.58,72.49,76.22,81.94,86.34,102.21,115.8,164.47
15.25,0.635416667,30.31,36.33,39.92,42.49,44.5,46.17,47.6,48.85,49.96,50.96,51.43,52.31,53.13,53.89,54.6,55.26,55.89,56.49,57.05,57.85,62.13,67.9,72.84,76.6,82.36,86.79,102.77,116.41,165.19
15.5,0.645833333,30.47,36.51,40.11,42.69,44.71,46.38,47.82,49.07,50.19,51.2,51.66,52.55,53.37,54.13,54.84,55.51,56.15,56.75,57.31,58.12,62.41,68.21,73.19,76.97,82.78,87.24,103.32,117.03,165.91
15.75,0.65625,30.64,36.69,40.31,42.89,44.92,46.6,48.03,49.29,50.41,51.43,51.89,52.78,53.61,54.37,55.09,55.76,56.4,57,57.57,58.38,62.69,68.52,73.53,77.34,83.19,87.68,103.86,117.63,166.61
16,0.666666667,30.8,36.87,40.5,43.09,45.13,46.81,48.25,49.51,50.64,51.65,52.12,53.02,53.84,54.61,55.33,56.01,56.64,57.25,57.82,58.63,62.96,68.83,73.87,77.71,83.6,88.13,104.41,118.23,167.31
16.25,0.677083333,30.96,37.05,40.68,43.29,45.33,47.02,48.46,49.73,50.86,51.88,52.35,53.24,54.07,54.85,55.57,56.25,56.89,57.5,58.07,58.88,63.23,69.13,74.21,78.08,84.01,88.57,104.95,118.83,168
16.5,0.6875,31.12,37.22,40.87,43.48,45.53,47.22,48.67,49.94,51.07,52.1,52.57,53.47,54.3,55.08,55.81,56.49,57.13,57.74,58.32,59.13,63.5,69.44,74.55,78.44,84.42,89,105.48,119.42,168.69
16.75,0.697916667,31.27,37.4,41.05,43.67,45.73,47.43,48.88,50.15,51.29,52.32,52.79,53.7,54.53,55.31,56.04,56.72,57.37,57.98,58.56,59.38,63.77,69.74,74.88,78.8,84.82,89.44,106.01,120,169.36
17,0.708333333,31.42,37.57,41.23,43.86,45.92,47.63,49.08,50.36,51.5,52.53,53.01,53.92,54.76,55.54,56.27,56.96,57.61,58.22,58.8,59.63,64.03,70.03,75.21,79.16,85.21,89.87,106.54,120.58,170.03
17.25,0.71875,31.58,37.73,41.41,44.05,46.11,47.82,49.29,50.57,51.71,52.75,53.22,54.14,54.98,55.76,56.5,57.19,57.84,58.46,59.04,59.87,64.3,70.33,75.54,79.51,85.61,90.29,107.06,121.16,170.69
17.5,0.729166667,31.72,37.9,41.59,44.23,46.31,48.02,49.49,50.77,51.92,52.96,53.44,54.35,55.2,55.99,56.72,57.42,58.07,58.69,59.28,60.11,64.55,70.62,75.86,79.86,86,90.72,107.57,121.72,171.35
