Duration hours,Duration days,1 year rainfall (mm),2 year rainfall (mm),3 year rainfall (mm),4 year rainfall (mm),5 year rainfall (mm),6 year rainfall (mm),7 year rainfall (mm),8 year rainfall (mm),9 year rainfall (mm),10 year rainfall (mm),11 year rainfall (mm),12 year rainfall (mm),13 year rainfall (mm),14 year rainfall (mm),15 year rainfall (mm),16 year rainfall (mm),17 year rainfall (mm),18 year rainfall (mm),19 year rainfall (mm),20 year rainfall (mm),30 year rainfall (mm),50 year rainfall (mm),75 year rainfall (mm),100 year rainfall (mm),150 year rainfall (mm),200 year rainfall (mm),500 year rainfall (mm),1000 year rainfall (mm),10000 year rainfall (mm)
52.75,2.197916667,44.1,51.96,56.73,60.24,63.05,65.39,67.42,69.21,70.83,72.3,72.99,74.3,75.53,76.68,77.76,78.79,79.77,80.7,81.6,82.88,89.93,99.82,108.51,115.05,124.62,131.6,154.15,171.31,227.42
53,2.208333333,44.16,52.03,56.81,60.32,63.13,65.48,67.51,69.31,70.93,72.4,73.09,74.41,75.63,76.79,77.87,78.9,79.88,80.82,81.72,83,90.07,99.98,108.67,115.23,124.81,131.8,154.37,171.53,227.67
53.25,2.21875,44.22,52.1,56.88,60.41,63.22,65.57,67.6,69.41,71.03,72.51,73.19,74.51,75.74,76.89,77.98,79.01,80,80.93,81.83,83.12,90.2,100.13,108.84,115.4,125,131.99,154.58,171.76,227.92
53.5,2.229166667,44.28,52.17,56.96,60.49,63.31,65.66,67.7,69.5,71.12,72.61,73.29,74.61,75.85,77,78.09,79.13,80.11,81.05,81.95,83.24,90.34,100.28,109.01,115.58,125.19,132.19,154.79,171.98,228.17
53.75,2.239583333,44.34,52.24,57.04,60.57,63.39,65.75,67.79,69.6,71.22,72.71,73.39,74.72,75.95,77.11,78.2,79.24,80.22,81.16,82.07,83.36,90.47,100.43,109.17,115.75,125.38,132.38,155,172.2,228.42
54,2.25,44.4,52.31,57.11,60.65,63.48,65.84,67.88,69.69,71.32,72.81,73.5,74.82,76.06,77.22,78.31,79.35,80.34,81.28,82.19,83.48,90.6,100.58,109.34,115.93,125.56,132.57,155.21,172.42,228.66
54.25,2.260416667,44.46,52.38,57.19,60.73,63.56,65.93,67.97,69.78,71.42,72.91,73.6,74.92,76.16,77.33,78.42,79.46,80.45,81.39,82.3,83.6,90.73,100.73,109.5,116.1,125.75,132.77,155.42,172.64,228.91
54.5,2.270833333,44.52,52.45,57.26,60.81,63.64,66.01,68.06,69.88,71.51,73.01,73.7,75.03,76.27,77.43,78.53,79.57,80.56,81.51,82.42,83.72,90.86,100.88,109.67,116.28,125.93,132.96,155.63,172.86,229.15
54.75,2.28125,44.58,52.52,57.34,60.89,63.73,66.1,68.15,69.97,71.61,73.1,73.8,75.13,76.37,77.54,78.64,79.68,80.68,81.62,82.53,83.84,91,101.03,109.83,116.45,126.12,133.15,155.84,173.07,229.39
55,2.291666667,44.64,52.59,57.42,60.97,63.81,66.19,68.25,70.07,71.71,73.2,73.9,75.23,76.48,77.65,78.75,79.79,80.79,81.74,82.65,83.96,91.13,101.18,109.99,116.62,126.3,133.34,156.05,173.29,229.63
55.25,2.302083333,44.7,52.66,57.49,61.05,63.9,66.28,68.34,70.16,71.8,73.3,74,75.33,76.58,77.75,78.86,79.9,80.9,81.85,82.77,84.07,91.26,101.33,110.16,116.79,126.48,133.53,156.25,173.5,229.88
55.5,2.3125,44.76,52.73,57.57,61.13,63.98,66.36,68.43,70.25,71.9,73.4,74.1,75.44,76.69,77.86,78.96,80.01,81.01,81.96,82.88,84.19,91.39,101.48,110.32,116.96,126.67,133.72,156.46,173.72,230.11
55.75,2.322916667,44.82,52.79,57.64,61.21,64.06,66.45,68.52,70.35,71.99,73.5,74.2,75.54,76.79,77.96,79.07,80.12,81.12,82.08,82.99,84.31,91.52,101.63,110.48,117.13,126.85,133.9,156.66,173.93,230.35
56,2.333333333,44.88,52.86,57.72,61.29,64.15,66.54,68.61,70.44,72.09,73.6,74.29,75.64,76.89,78.07,79.18,80.23,81.23,82.19,83.11,84.42,91.65,101.77,110.64,117.3,127.03,134.09,156.86,174.14,230.59
56.25,2.34375,44.94,52.93,57.79,61.37,64.23,66.63,68.7,70.53,72.18,73.69,74.39,75.74,77,78.17,79.29,80.34,81.34,82.3,83.22,84.54,91.78,101.92,110.8,117.47,127.21,134.28,157.06,174.35,230.82
56.5,2.354166667,45,53,57.86,61.45,64.31,66.71,68.79,70.62,72.28,73.79,74.49,75.84,77.1,78.28,79.39,80.45,81.45,82.41,83.34,84.66,91.9,102.06,110.96,117.64,127.39,134.46,157.26,174.56,231.06
56.75,2.364583333,45.06,53.07,57.94,61.53,64.4,66.8,68.87,70.72,72.37,73.89,74.59,75.94,77.2,78.38,79.5,80.56,81.56,82.52,83.45,84.77,92.03,102.21,111.12,117.81,127.56,134.65,157.46,174.77,231.29
57,2.375,45.12,53.14,58.01,61.61,64.48,66.88,68.96,70.81,72.47,73.98,74.69,76.04,77.3,78.49,79.61,80.67,81.67,82.64,83.56,84.89,92.16,102.35,111.28,117.97,127.74,134.83,157.66,174.98,231.52
57.25,2.385416667,45.17,53.2,58.09,61.68,64.56,66.97,69.05,70.9,72.56,74.08,74.79,76.14,77.4,78.59,79.71,80.77,81.78,82.75,83.68,85,92.29,102.5,111.43,118.14,127.92,135.01,157.86,175.19,231.76
57.5,2.395833333,45.23,53.27,58.16,61.76,64.64,67.05,69.14,70.99,72.66,74.18,74.88,76.24,77.51,78.7,79.82,80.88,81.89,82.86,83.79,85.12,92.41,102.64,111.59,118.3,128.09,135.19,158.06,175.39,231.99
57.75,2.40625,45.29,53.34,58.23,61.84,64.72,67.14,69.23,71.08,72.75,74.27,74.98,76.34,77.61,78.8,79.92,80.99,82,82.97,83.9,85.23,92.54,102.79,111.75,118.47,128.27,135.38,158.25,175.6,232.22
58,2.416666667,45.35,53.41,58.31,61.92,64.81,67.22,69.32,71.17,72.84,74.37,75.08,76.44,77.71,78.9,80.03,81.1,82.11,83.08,84.01,85.35,92.67,102.93,111.9,118.63,128.44,135.56,158.45,175.8,232.44
58.25,2.427083333,45.41,53.47,58.38,62,64.89,67.31,69.4,71.26,72.94,74.47,75.17,76.54,77.81,79.01,80.13,81.2,82.22,83.19,84.12,85.46,92.79,103.07,112.06,118.8,128.62,135.74,158.64,176,232.67
58.5,2.4375,45.46,53.54,58.45,62.07,64.97,67.39,69.49,71.35,73.03,74.56,75.27,76.64,77.91,79.11,80.24,81.31,82.33,83.3,84.23,85.57,92.92,103.21,112.21,118.96,128.79,135.91,158.84,176.2,232.9
58.75,2.447916667,45.52,53.61,58.53,62.15,65.05,67.48,69.58,71.44,73.12,74.66,75.37,76.73,78.01,79.21,80.34,81.41,82.43,83.41,84.35,85.69,93.04,103.36,112.37,119.12,128.96,136.09,159.03,176.41,233.12
59,2.458333333,45.58,53.67,58.6,62.23,65.13,67.56,69.67,71.53,73.21,74.75,75.46,76.83,78.11,79.31,80.45,81.52,82.54,83.52,84.46,85.8,93.17,103.5,112.52,119.28,129.13,136.27,159.22,176.61,233.34
59.25,2.46875,45.64,53.74,58.67,62.3,65.21,67.65,69.75,71.62,73.31,74.85,75.56,76.93,78.21,79.41,80.55,81.63,82.65,83.63,84.57,85.91,93.29,103.64,112.67,119.44,129.3,136.45,159.41,176.8,233.57
59.5,2.479166667,45.69,53.81,58.74,62.38,65.29,67.73,69.84,71.71,73.4,74.94,75.65,77.03,78.31,79.52,80.65,81.73,82.76,83.73,84.68,86.02,93.42,103.78,112.83,119.61,129.47,136.62,159.6,177,233.79
59.75,2.489583333,45.75,53.87,58.81,62.46,65.37,67.81,69.93,71.8,73.49,75.03,75.75,77.13,78.41,79.62,80.76,81.84,82.86,83.84,84.79,86.13,93.54,103.92,112.98,119.77,129.64,136.8,159.79,177.2,234.01
60,2.5,45.81,53.94,58.89,62.53,65.45,67.9,70.01,71.89,73.58,75.13,75.84,77.22,78.51,79.72,80.86,81.94,82.97,83.95,84.9,86.25,93.66,104.06,113.13,119.92,129.81,136.97,159.98,177.4,234.23
60.25,2.510416667,45.86,54,58.96,62.61,65.53,67.98,70.1,71.98,73.67,75.22,75.94,77.32,78.61,79.82,80.96,82.04,83.07,84.06,85,86.36,93.79,104.2,113.28,120.08,129.98,137.15,160.17,177.59,234.45
60.5,2.520833333,45.92,54.07,59.03,62.69,65.61,68.06,70.19,72.07,73.76,75.31,76.03,77.42,78.71,79.92,81.06,82.15,83.18,84.16,85.11,86.47,93.91,104.33,113.43,120.24,130.15,137.32,160.35,177.79,234.67
60.75,2.53125,45.98,54.14,59.1,62.76,65.69,68.15,70.27,72.16,73.86,75.41,76.13,77.51,78.81,80.02,81.17,82.25,83.29,84.27,85.22,86.58,94.03,104.47,113.58,120.4,130.31,137.49,160.54,177.98,234.88
61,2.541666667,46.03,54.2,59.17,62.84,65.77,68.23,70.36,72.25,73.95,75.5,76.22,77.61,78.9,80.12,81.27,82.36,83.39,84.38,85.33,86.69,94.15,104.61,113.73,120.56,130.48,137.66,160.73,178.17,235.1
61.25,2.552083333,46.09,54.27,59.24,62.91,65.85,68.31,70.44,72.33,74.04,75.59,76.32,77.71,79,80.22,81.37,82.46,83.5,84.49,85.44,86.8,94.28,104.75,113.88,120.71,130.65,137.83,160.91,178.37,235.31
61.5,2.5625,46.15,54.33,59.31,62.99,65.93,68.39,70.53,72.42,74.13,75.69,76.41,77.8,79.1,80.32,81.47,82.56,83.6,84.59,85.55,86.91,94.4,104.88,114.03,120.87,130.81,138,161.09,178.56,235.53
61.75,2.572916667,46.2,54.4,59.39,63.06,66.01,68.48,70.61,72.51,74.22,75.78,76.5,77.9,79.2,80.42,81.57,82.67,83.71,84.7,85.65,87.02,94.52,105.02,114.17,121.02,130.97,138.17,161.28,178.75,235.74
62,2.583333333,46.26,54.46,59.46,63.14,66.09,68.56,70.7,72.6,74.31,75.87,76.6,77.99,79.3,80.52,81.67,82.77,83.81,84.8,85.76,87.13,94.64,105.16,114.32,121.18,131.14,138.34,161.46,178.94,235.95
62.25,2.59375,46.31,54.53,59.53,63.21,66.17,68.64,70.78,72.68,74.4,75.96,76.69,78.09,79.39,80.62,81.77,82.87,83.91,84.91,85.87,87.24,94.76,105.29,114.47,121.33,131.3,138.51,161.64,179.13,236.16
62.5,2.604166667,46.37,54.59,59.6,63.29,66.24,68.72,70.87,72.77,74.49,76.06,76.78,78.18,79.49,80.72,81.87,82.97,84.02,85.01,85.97,87.35,94.88,105.43,114.62,121.48,131.46,138.68,161.82,179.31,236.37
62.75,2.614583333,46.42,54.65,59.67,63.36,66.32,68.8,70.95,72.86,74.58,76.15,76.88,78.28,79.59,80.82,81.98,83.07,84.12,85.12,86.08,87.45,95,105.56,114.76,121.64,131.62,138.84,162,179.5,236.58
63,2.625,46.48,54.72,59.74,63.44,66.4,68.88,71.04,72.94,74.66,76.24,76.97,78.37,79.68,80.91,82.08,83.18,84.22,85.22,86.19,87.56,95.12,105.7,114.91,121.79,131.79,139.01,162.18,179.69,236.79
63.25,2.635416667,46.54,54.78,59.81,63.51,66.48,68.96,71.12,73.03,74.75,76.33,77.06,78.47,79.78,81.01,82.17,83.28,84.33,85.33,86.29,87.67,95.24,105.83,115.05,121.94,131.95,139.17,162.36,179.87,237
63.5,2.645833333,46.59,54.85,59.88,63.59,66.56,69.05,71.2,73.12,74.84,76.42,77.15,78.56,79.87,81.11,82.27,83.38,84.43,85.43,86.4,87.78,95.35,105.96,115.2,122.09,132.11,139.34,162.53,180.06,237.2
63.75,2.65625,46.65,54.91,59.95,63.66,66.63,69.13,71.29,73.2,74.93,76.51,77.24,78.65,79.97,81.21,82.37,83.48,84.53,85.54,86.5,87.89,95.47,106.1,115.34,122.24,132.26,139.5,162.71,180.24,237.41
64,2.666666667,46.7,54.97,60.02,63.73,66.71,69.21,71.37,73.29,75.02,76.6,77.34,78.75,80.07,81.3,82.47,83.58,84.63,85.64,86.61,87.99,95.59,106.23,115.48,122.39,132.42,139.67,162.89,180.42,237.61
64.25,2.677083333,46.76,55.04,60.08,63.81,66.79,69.29,71.45,73.37,75.11,76.69,77.43,78.84,80.16,81.4,82.57,83.68,84.74,85.74,86.71,88.1,95.71,106.36,115.63,122.54,132.58,139.83,163.06,180.61,237.82
64.5,2.6875,46.81,55.1,60.15,63.88,66.86,69.37,71.54,73.46,75.2,76.78,77.52,78.93,80.26,81.5,82.67,83.78,84.84,85.85,86.82,88.21,95.83,106.49,115.77,122.69,132.74,139.99,163.24,180.79,238.02
64.75,2.697916667,46.86,55.17,60.22,63.95,66.94,69.45,71.62,73.55,75.28,76.87,77.61,79.03,80.35,81.59,82.77,83.88,84.94,85.95,86.92,88.31,95.94,106.62,115.91,122.84,132.89,140.15,163.41,180.97,238.22
65,2.708333333,46.92,55.23,60.29,64.03,67.02,69.53,71.7,73.63,75.37,76.96,77.7,79.12,80.45,81.69,82.87,83.98,85.04,86.05,87.03,88.42,96.06,106.75,116.05,122.99,133.05,140.31,163.58,181.15,238.42
65.25,2.71875,46.97,55.29,60.36,64.1,67.09,69.61,71.78,73.72,75.46,77.05,77.79,79.21,80.54,81.79,82.96,84.08,85.14,86.15,87.13,88.52,96.18,106.89,116.19,123.14,133.21,140.47,163.75,181.33,238.62
65.5,2.729166667,47.03,55.35,60.43,64.17,67.17,69.69,71.87,73.8,75.55,77.14,77.88,79.31,80.63,81.88,83.06,84.18,85.24,86.26,87.23,88.63,96.29,107.02,116.33,123.28,133.36,140.63,163.93,181.51,238.82
65.75,2.739583333,47.08,55.42,60.5,64.25,67.25,69.77,71.95,73.89,75.63,77.23,77.97,79.4,80.73,81.98,83.16,84.28,85.34,86.36,87.34,88.73,96.41,107.15,116.47,123.43,133.52,140.79,164.1,181.69,239.02
66,2.75,47.14,55.48,60.57,64.32,67.32,69.84,72.03,73.97,75.72,77.32,78.06,79.49,80.82,82.07,83.26,84.38,85.44,86.46,87.44,88.84,96.52,107.27,116.61,123.58,133.67,140.95,164.27,181.86,239.22
66.25,2.760416667,47.19,55.54,60.63,64.39,67.4,69.92,72.11,74.05,75.81,77.41,78.15,79.58,80.92,82.17,83.35,84.48,85.54,86.56,87.54,88.94,96.64,107.4,116.75,123.72,133.82,141.11,164.44,182.04,239.41
66.5,2.770833333,47.24,55.61,60.7,64.46,67.47,70,72.19,74.14,75.89,77.5,78.24,79.67,81.01,82.27,83.45,84.57,85.64,86.66,87.65,89.05,96.75,107.53,116.89,123.87,133.98,141.27,164.61,182.21,239.61
66.75,2.78125,47.3,55.67,60.77,64.53,67.55,70.08,72.28,74.22,75.98,77.58,78.33,79.76,81.1,82.36,83.55,84.67,85.74,86.76,87.75,89.15,96.87,107.66,117.03,124.01,134.13,141.42,164.77,182.39,239.81
67,2.791666667,47.35,55.73,60.84,64.61,67.63,70.16,72.36,74.31,76.06,77.67,78.42,79.86,81.2,82.46,83.64,84.77,85.84,86.86,87.85,89.26,96.98,107.79,117.17,124.16,134.28,141.58,164.94,182.56,240
67.25,2.802083333,47.4,55.79,60.91,64.68,67.7,70.24,72.44,74.39,76.15,77.76,78.51,79.95,81.29,82.55,83.74,84.87,85.94,86.97,87.95,89.36,97.1,107.92,117.3,124.3,134.43,141.73,165.11,182.74,240.19
67.5,2.8125,47.46,55.85,60.97,64.75,67.78,70.32,72.52,74.47,76.24,77.85,78.6,80.04,81.38,82.64,83.84,84.97,86.04,87.07,88.05,89.46,97.21,108.04,117.44,124.44,134.58,141.89,165.27,182.91,240.39
67.75,2.822916667,47.51,55.92,61.04,64.82,67.85,70.39,72.6,74.56,76.32,77.94,78.69,80.13,81.47,82.74,83.93,85.06,86.14,87.17,88.15,89.57,97.32,108.17,117.58,124.59,134.73,142.04,165.44,183.08,240.58
68,2.833333333,47.56,55.98,61.11,64.89,67.93,70.47,72.68,74.64,76.41,78.02,78.77,80.22,81.57,82.83,84.03,85.16,86.24,87.27,88.26,89.67,97.44,108.3,117.71,124.73,134.88,142.2,165.6,183.25,240.77
68.25,2.84375,47.62,56.04,61.17,64.96,68,70.55,72.76,74.72,76.49,78.11,78.86,80.31,81.66,82.93,84.12,85.26,86.34,87.37,88.36,89.77,97.55,108.42,117.85,124.87,135.03,142.35,165.77,183.42,240.96
68.5,2.854166667,47.67,56.1,61.24,65.04,68.08,70.63,72.84,74.81,76.58,78.2,78.95,80.4,81.75,83.02,84.22,85.35,86.43,87.46,88.46,89.88,97.66,108.55,117.98,125.01,135.18,142.5,165.93,183.59,241.15
68.75,2.864583333,47.72,56.16,61.31,65.11,68.15,70.7,72.92,74.89,76.66,78.29,79.04,80.49,81.84,83.11,84.31,85.45,86.53,87.56,88.56,89.98,97.77,108.67,118.12,125.15,135.32,142.65,166.09,183.76,241.34
69,2.875,47.77,56.22,61.37,65.18,68.22,70.78,73,74.97,76.75,78.37,79.13,80.58,81.93,83.21,84.41,85.55,86.63,87.66,88.66,90.08,97.89,108.8,118.25,125.29,135.47,142.81,166.26,183.93,241.53
69.25,2.885416667,47.83,56.28,61.44,65.25,68.3,70.86,73.08,75.05,76.83,78.46,79.21,80.67,82.02,83.3,84.5,85.64,86.73,87.76,88.76,90.18,98,108.92,118.39,125.43,135.62,142.96,166.42,184.1,241.71
69.5,2.895833333,47.88,56.35,61.51,65.32,68.37,70.94,73.16,75.13,76.92,78.55,79.3,80.76,82.12,83.39,84.6,85.74,86.82,87.86,88.86,90.28,98.11,109.05,118.52,125.57,135.76,143.11,166.58,184.27,241.9
69.75,2.90625,47.93,56.41,61.57,65.39,68.45,71.01,73.24,75.22,77,78.63,79.39,80.85,82.21,83.48,84.69,85.83,86.92,87.96,88.96,90.39,98.22,109.17,118.65,125.71,135.91,143.26,166.74,184.43,242.09
70,2.916666667,47.98,56.47,61.64,65.46,68.52,71.09,73.32,75.3,77.08,78.72,79.48,80.93,82.3,83.58,84.78,85.93,87.02,88.06,89.06,90.49,98.33,109.3,118.79,125.85,136.06,143.41,166.9,184.6,242.27
70.25,2.927083333,48.04,56.53,61.71,65.53,68.59,71.17,73.4,75.38,77.17,78.8,79.56,81.02,82.39,83.67,84.88,86.02,87.11,88.15,89.16,90.59,98.44,109.42,118.92,125.98,136.2,143.55,167.06,184.76,242.45
70.5,2.9375,48.09,56.59,61.77,65.6,68.67,71.24,73.48,75.46,77.25,78.89,79.65,81.11,82.48,83.76,84.97,86.12,87.21,88.25,89.26,90.69,98.55,109.54,119.05,126.12,136.34,143.7,167.22,184.93,242.64
70.75,2.947916667,48.14,56.65,61.84,65.67,68.74,71.32,73.56,75.54,77.34,78.98,79.74,81.2,82.57,83.85,85.06,86.21,87.31,88.35,89.35,90.79,98.66,109.66,119.18,126.26,136.49,143.85,167.37,185.09,242.82
71,2.958333333,48.19,56.71,61.9,65.74,68.81,71.39,73.64,75.62,77.42,79.06,79.82,81.29,82.66,83.94,85.16,86.31,87.4,88.45,89.45,90.89,98.77,109.79,119.31,126.4,136.63,144,167.53,185.26,243
71.25,2.96875,48.24,56.77,61.97,65.81,68.89,71.47,73.71,75.71,77.5,79.15,79.91,81.38,82.75,84.03,85.25,86.4,87.5,88.54,89.55,90.99,98.88,109.91,119.44,126.53,136.77,144.14,167.69,185.42,243.18
71.5,2.979166667,48.3,56.83,62.04,65.88,68.96,71.55,73.79,75.79,77.58,79.23,79.99,81.46,82.84,84.13,85.34,86.5,87.59,88.64,89.65,91.09,98.99,110.03,119.57,126.67,136.92,144.29,167.84,185.58,243.37
71.75,2.989583333,48.35,56.89,62.1,65.95,69.03,71.62,73.87,75.87,77.67,79.32,80.08,81.55,82.93,84.22,85.44,86.59,87.69,88.74,89.75,91.19,99.1,110.15,119.7,126.8,137.06,144.43,168,185.74,243.55
72,3,48.4,56.95,62.17,66.02,69.1,71.7,73.95,75.95,77.75,79.4,80.17,81.64,83.02,84.31,85.53,86.68,87.78,88.83,89.84,91.29,99.21,110.27,119.83,126.94,137.2,144.58,168.15,185.9,243.72
72.25,3.010416667,48.45,57.01,62.23,66.09,69.18,71.77,74.03,76.03,77.83,79.49,80.25,81.73,83.1,84.4,85.62,86.78,87.88,88.93,89.94,91.39,99.32,110.39,119.96,127.07,137.34,144.72,168.31,186.06,243.9
72.5,3.020833333,48.5,57.07,62.3,66.16,69.25,71.85,74.1,76.11,77.92,79.57,80.34,81.81,83.19,84.49,85.71,86.87,87.97,89.03,90.04,91.49,99.43,110.51,120.09,127.2,137.48,144.87,168.46,186.22,244.08
72.75,3.03125,48.55,57.13,62.36,66.22,69.32,71.92,74.18,76.19,78,79.65,80.42,81.9,83.28,84.58,85.8,86.96,88.07,89.12,90.14,91.59,99.53,110.63,120.22,127.34,137.62,145.01,168.61,186.38,244.26
73,3.041666667,48.61,57.19,62.43,66.29,69.39,72,74.26,76.27,78.08,79.74,80.51,81.99,83.37,84.67,85.89,87.06,88.16,89.22,90.23,91.68,99.64,110.75,120.35,127.47,137.76,145.15,168.77,186.54,244.43
73.25,3.052083333,48.66,57.25,62.49,66.36,69.47,72.07,74.34,76.35,78.16,79.82,80.59,82.07,83.46,84.76,85.99,87.15,88.26,89.31,90.33,91.78,99.75,110.87,120.47,127.6,137.9,145.3,168.92,186.7,244.61
73.5,3.0625,48.71,57.31,62.56,66.43,69.54,72.15,74.41,76.43,78.24,79.91,80.68,82.16,83.55,84.85,86.08,87.24,88.35,89.41,90.43,91.88,99.86,110.99,120.6,127.74,138.03,145.44,169.07,186.86,244.78
73.75,3.072916667,48.76,57.37,62.62,66.5,69.61,72.22,74.49,76.51,78.32,79.99,80.76,82.25,83.64,84.94,86.17,87.33,88.44,89.5,90.52,91.98,99.96,111.11,120.73,127.87,138.17,145.58,169.22,187.01,244.96
74,3.083333333,48.81,57.43,62.68,66.57,69.68,72.3,74.57,76.59,78.41,80.07,80.85,82.33,83.72,85.03,86.26,87.43,88.54,89.6,90.62,92.08,100.07,111.23,120.85,128,138.31,145.72,169.37,187.17,245.13
74.25,3.09375,48.86,57.48,62.75,66.64,69.75,72.37,74.65,76.67,78.49,80.16,80.93,82.42,83.81,85.12,86.35,87.52,88.63,89.69,90.71,92.17,100.18,111.34,120.98,128.13,138.45,145.86,169.52,187.32,245.31
74.5,3.104166667,48.91,57.54,62.81,66.7,69.82,72.45,74.72,76.74,78.57,80.24,81.01,82.51,83.9,85.21,86.44,87.61,88.72,89.79,90.81,92.27,100.28,111.46,121.11,128.26,138.58,146,169.67,187.48,245.48
74.75,3.114583333,48.96,57.6,62.88,66.77,69.89,72.52,74.8,76.82,78.65,80.32,81.1,82.59,83.99,85.29,86.53,87.7,88.82,89.88,90.9,92.37,100.39,111.58,121.23,128.39,138.72,146.14,169.82,187.63,245.65
75,3.125,49.01,57.66,62.94,66.84,69.97,72.59,74.88,76.9,78.73,80.4,81.18,82.68,84.07,85.38,86.62,87.79,88.91,89.97,91,92.46,100.49,111.7,121.36,128.52,138.85,146.28,169.97,187.79,245.82
75.25,3.135416667,49.06,57.72,63,66.91,70.04,72.67,74.95,76.98,78.81,80.49,81.27,82.76,84.16,85.47,86.71,87.89,89,90.07,91.09,92.56,100.6,111.81,121.48,128.65,138.99,146.42,170.11,187.94,245.99
75.5,3.145833333,49.11,57.78,63.07,66.98,70.11,72.74,75.03,77.06,78.89,80.57,81.35,82.85,84.25,85.56,86.8,87.98,89.09,90.16,91.19,92.66,100.7,111.93,121.6,128.78,139.12,146.55,170.26,188.09,246.16
75.75,3.15625,49.16,57.84,63.13,67.04,70.18,72.81,75.1,77.14,78.97,80.65,81.43,82.93,84.33,85.65,86.89,88.07,89.19,90.26,91.28,92.75,100.81,112.04,121.73,128.91,139.26,146.69,170.41,188.24,246.33
76,3.166666667,49.21,57.9,63.2,67.11,70.25,72.89,75.18,77.22,79.05,80.73,81.52,83.02,84.42,85.74,86.98,88.16,89.28,90.35,91.38,92.85,100.91,112.16,121.85,129.03,139.39,146.83,170.55,188.39,246.5
76.25,3.177083333,49.26,57.95,63.26,67.18,70.32,72.96,75.26,77.29,79.13,80.82,81.6,83.1,84.51,85.82,87.07,88.25,89.37,90.44,91.47,92.95,101.02,112.27,121.97,129.16,139.52,146.97,170.7,188.55,246.67
76.5,3.1875,49.31,58.01,63.32,67.24,70.39,73.03,75.33,77.37,79.21,80.9,81.68,83.19,84.59,85.91,87.16,88.34,89.46,90.53,91.57,93.04,101.12,112.39,122.1,129.29,139.66,147.1,170.84,188.7,246.83
76.75,3.197916667,49.36,58.07,63.39,67.31,70.46,73.11,75.41,77.45,79.29,80.98,81.76,83.27,84.68,86,87.25,88.43,89.55,90.63,91.66,93.14,101.23,112.5,122.22,129.42,139.79,147.24,170.99,188.85,247
77,3.208333333,49.41,58.13,63.45,67.38,70.53,73.18,75.48,77.53,79.37,81.06,81.85,83.35,84.76,86.09,87.34,88.52,89.65,90.72,91.75,93.23,101.33,112.62,122.34,129.54,139.92,147.37,171.13,188.99,247.17
77.25,3.21875,49.46,58.19,63.51,67.45,70.6,73.25,75.56,77.61,79.45,81.14,81.93,83.44,84.85,86.17,87.42,88.61,89.74,90.81,91.85,93.33,101.43,112.73,122.46,129.67,140.05,147.51,171.27,189.14,247.33
77.5,3.229166667,49.51,58.24,63.57,67.51,70.67,73.33,75.63,77.68,79.53,81.23,82.01,83.52,84.93,86.26,87.51,88.7,89.83,90.9,91.94,93.42,101.54,112.85,122.58,129.79,140.18,147.64,171.42,189.29,247.5
77.75,3.239583333,49.56,58.3,63.64,67.58,70.74,73.4,75.71,77.76,79.61,81.31,82.09,83.61,85.02,86.35,87.6,88.79,89.92,91,92.03,93.52,101.64,112.96,122.7,129.92,140.31,147.77,171.56,189.44,247.66
78,3.25,49.61,58.36,63.7,67.65,70.81,73.47,75.78,77.84,79.69,81.39,82.17,83.69,85.11,86.43,87.69,88.88,90.01,91.09,92.13,93.61,101.74,113.07,122.82,130.04,140.44,147.91,171.7,189.59,247.82
78.25,3.260416667,49.66,58.42,63.76,67.71,70.88,73.54,75.86,77.91,79.77,81.47,82.26,83.77,85.19,86.52,87.78,88.97,90.1,91.18,92.22,93.7,101.84,113.19,122.94,130.17,140.57,148.04,171.84,189.73,247.99
78.5,3.270833333,49.71,58.47,63.83,67.78,70.95,73.62,75.93,77.99,79.85,81.55,82.34,83.86,85.28,86.61,87.86,89.06,90.19,91.27,92.31,93.8,101.95,113.3,123.06,130.29,140.7,148.17,171.98,189.88,248.15
78.75,3.28125,49.76,58.53,63.89,67.84,71.02,73.69,76.01,78.07,79.93,81.63,82.42,83.94,85.36,86.69,87.95,89.14,90.28,91.36,92.4,93.89,102.05,113.41,123.18,130.42,140.83,148.3,172.12,190.02,248.31
79,3.291666667,49.81,58.59,63.95,67.91,71.09,73.76,76.08,78.14,80.01,81.71,82.5,84.02,85.44,86.78,88.04,89.23,90.37,91.45,92.5,93.99,102.15,113.52,123.3,130.54,140.96,148.44,172.26,190.17,248.47
79.25,3.302083333,49.86,58.65,64.01,67.98,71.16,73.83,76.16,78.22,80.08,81.79,82.58,84.11,85.53,86.87,88.13,89.32,90.46,91.54,92.59,94.08,102.25,113.64,123.42,130.66,141.09,148.57,172.4,190.31,248.63
79.5,3.3125,49.91,58.7,64.07,68.04,71.23,73.9,76.23,78.3,80.16,81.87,82.66,84.19,85.61,86.95,88.21,89.41,90.55,91.64,92.68,94.17,102.35,113.75,123.54,130.78,141.22,148.7,172.54,190.46,248.79
79.75,3.322916667,49.96,58.76,64.14,68.11,71.29,73.98,76.3,78.37,80.24,81.95,82.74,84.27,85.7,87.04,88.3,89.5,90.64,91.73,92.77,94.27,102.45,113.86,123.66,130.91,141.34,148.83,172.68,190.6,248.95
